CLCN2	NM_004366.6	NM_004366	86.0	NM_004366.6:86
PDE6B	NM_000283.3	NM_000283	4.8	NM_000283.3:182;NM_001145291.1:38;NM_001145292.1:8;NM_001350155.2:5;NM_001350154.2:1
SMC3	NM_005445.3	NM_005445	2.6	NM_005445.3:130;NM_005445.4:50
KRAS	NM_033360.4	NM_033360	232.0	NM_033360.4:232;NM_004985.4:1
MTOR	NM_004958.4	NM_004958	413.0	NM_004958.4:413
FTO	NM_001080432.3	NM_001080432	16.9	NM_001080432.3:118;NM_001363891.1:7
LMNA	NM_170707.4	NM_170707	176.8	NM_170707.4:1061;NM_005572.3:6;NM_170707.3:1;NM_001282625.2:1
ACTN2	NM_001103.3	NM_001103	7.9	NM_001103.3:526;NM_001103.4:67;NM_001278343.2:11;NM_001278344.1:8
SCN5A	NM_198056.2	NM_198056	1.5	NM_198056.2:1068;NM_000335.5:705;NM_000335.4:295;NM_001099405.1:11;NM_001099404.1:10;NM_001160160.2:6;NM_001160161.1:4
DSP	NM_004415.4	NM_004415	675.3	NM_004415.4:2026;NM_004415.3:3
LDB3	NM_007078.3	NM_007078	104.4	NM_007078.3:522;NM_001368063.1:5
CSRP3	NM_003476.5	NM_003476	11.9	NM_003476.5:190;NM_003476.4:16
MYBPC3	NM_000256.3	NM_000256	1981.0	NM_000256.3:1981
MYH6	NM_002471.3	NM_002471	2.3	NM_002471.3:637;NM_002471.4:272;NM_000257.4:1
MYH7	NM_000257.4	NM_000257	2302.0	NM_000257.4:2302;NM_000257.3:1
OPA1	NM_015560.2	NM_015560	7.6	NM_015560.2:326;NM_015560.3:43;NM_130831.3:8;NM_130837.2:4;NM_001354663.2:3;NM_130832.3:1;NM_130836.3:1;NM_130837.3:1
ABCC8	NM_000352.6	NM_000352	4.6	NM_000352.6:446;NM_001287174.2:97;NM_000352.4:8;NM_000525.3:5
ALK	NM_004304.5	NM_004304	1350.0	NM_004304.5:1350
CHAMP1	NM_032436.4	NM_032436	61.0	NM_032436.4:61
GARS1	NM_002047.4	NM_002047	27.2	NM_002047.4:299;NM_001316772.1:11
