ASIC1	ACCN2
BCL6	ZNF51
RHEB	RHEB2
RHO	RP4
GRK1	RHOK
RIT2	RIN
RIT1	RIT
RNASE2	RNS2
RNASEL	RNS4
RNASEL	PRCA1
RNF17	TDRD4
TRIM3	RNF22
PCGF3	RNF3
TRIM10	RNF9
RNH1	RNH
ASIC3	ACCN3
OPN1SW	BCP
BCR	D22S11
BCR	BCR1
CNNM1	ACDP1
PHAX	RNUXA
ROR1	NTRKR1
ROR2	NTRKR2
ROR2	BDB
ROR2	BDB1
BDH1	BDH
RPE65	RP20
RPGR	CRD
RPGR	RP3
RPGR	RP15
RPGR	COD1
CNNM2	ACDP2
RPL13A	TSTA1
MRPL23	RPL23L
RPL36A	RPL44
RPL6	TXREB1
CFB	BFD
CFB	BF
MRPL12	RPML12
MRPL3	RPML3
RPS17	RPS17L
RPS19	LOH19CR1
RPS3A	MFTL
RPS6KA3	MRX19
RPS6KA3	CLS
RPS6KB1	STK14A
CNOT9	RQCD1
RRM2	C2orf48
RS1	RS
CLIP1	RSN
RTN1	NSP
RTN2	SPG12
RUNX1	AML1
RUNX1	CBFA2
RUNX2	CCD
RUNX2	CBFA1
RUNX2	CCD1
RUNX3	CBFA3
RYK	JTK5A
RYR1	MHS
RYR1	MHS1
RYR1	CCO
RYR2	ARVD2
S100A1	S100A
S100A2	S100L
S100A3	S100E
S100A4	MTS1
S100A4	CAPL
S100A6	CACY
S100A9	CAGB
S100A9	CFAG
CNNM4	ACDP4
SAA1	SAA
VPS52	SACM2L
BIN1	AMPHL
SALL1	TBS
SAR1B	SARA2
SARDH	DMGDHL1
SARS1	SARS
SAT1	SAT
MSMO1	SC4MOL
SC5D	SC5DL
ATXN1	SCA1
ATXN10	SCA10
ATXN2	SCA2
ATXN2	TNRC13
ATXN7	SCA7
SERPINB3	SCC
SERPINB3	SCCA1
SERPINB4	SCCA2
SCD	SCDOS
CLEC11A	SCGF
SCN11A	SCN12A
SCN1A	SCN1
SCN1A	FEB3
SCN2A	SCN2A1
SCN2A	SCN2A2
SCN4A	HYKPP
SCN5A	CMD1E
SCN7A	SCN6A
SCN8A	MED
SCNN1A	SCNN1
CXCR5	BLR1
SCO1	SCOD1
SCO2	MYP6
CCL11	SCYA11
CCL17	SCYA17
CCL20	SCYA20
BLVRA	BLVR
CCL21	SCYA21
CCL22	SCYA22
CCL23	SCYA23
CCL25	SCYA25
CCL26	SCYA26
CCL27	SCYA27
BLVRB	FLR
CCL8	SCYA8
CXCL10	INP10
CXCL10	SCYB10
CXCL6	SCYB6
XCL1	LTN
XCL1	SCYC1
CX3CL1	SCYD1
AIMP1	SCYE1
SDC1	SDC
BMI1	PCGF4
NEMF	SDCCAG1
CWC27	SDCCAG10
UTP14A	SDCCAG16
STARD10	SDCCAG28
NOXA1	SDCCAG31
TSHZ1	SDCCAG33
BMP1	PCOLC
CXCL12	SDF1A
CXCL12	SDF1B
CXCL12	SDF1
SDHA	SDH2
SDHB	SDH1
